Date,2018-07-19,
Time,08:58:05,

PlateType,384PP_DMSO2,
Barcode,AA00011888,

WellName,WellRow,WellColumn,GeoX,GeoY,TransducerZ,Wall ToF (us), Wall Vpp,EW BB ToF (us), EW BB Vpp,EW TB ToF (us), EW TB Vpp,FW BB ToF (us), FW BB Vpp,FW TB1 ToF (us), FW TB1 Vpp,FW TB2 ToF (us), FW TB2 Vpp,SR ToF (us), SR Vpp,SR2 ToF (us), SR2 Vpp,Well Round Trip ToF (us), Well Round Trip Vpp,Bottom Thickness (us), BottomEchoAmpRatio,
H1,7,0,55442.293375,40345.412400,17178.872797,,,,,,,32.060881,2.828125,32.674881,1.828125,,,36.454881,3.937500,,,,,0.614000,0.646409,
H2,7,1,59933.140375,40345.412400,17178.872797,,,,,,,32.034881,2.812500,32.654881,1.843750,,,36.392881,3.968750,,,,,0.620000,0.655556,
H3,7,2,64423.987375,40345.412400,17178.872797,,,,,,,32.004881,2.750000,32.626881,1.812500,,,36.374881,3.921875,,,,,0.622000,0.659091,
H4,7,3,68914.834375,40345.412400,17178.872797,,,,,,,31.982881,2.718750,32.604881,1.812500,,,36.306881,3.984375,,,,,0.622000,0.666667,
H5,7,4,73405.681375,40345.412400,17178.872797,,,,,,,31.962881,2.718750,32.586881,1.812500,,,36.348881,3.984375,,,,,0.624000,0.666667,
H6,7,5,77896.528375,40345.412400,17178.872797,,,,,,,31.948881,2.687500,32.574881,1.812500,,,36.322881,3.984375,,,,,0.626000,0.674419,
H7,7,6,82387.375375,40345.412400,17178.872797,,,,,,,31.938881,2.703125,32.564881,1.796875,,,36.302881,3.984375,,,,,0.626000,0.664740,
H8,7,7,86878.222375,40345.412400,17178.872797,,,,,,,31.934881,2.687500,32.562881,1.796875,,,36.304881,3.953125,,,,,0.628000,0.668605,
H9,7,8,91369.069375,40345.412400,17178.872797,,,,,,,31.936881,2.687500,32.564881,1.796875,,,36.308881,3.937500,,,,,0.628000,0.668605,
H10,7,9,95859.916375,40345.412400,17178.872797,,,,,,,31.938881,2.703125,32.566881,1.750000,,,36.300881,3.953125,,,,,0.628000,0.647399,
H11,7,10,100350.763375,40345.412400,17178.872797,,,,,,,31.936881,2.687500,32.566881,1.687500,,,36.318881,3.906250,,,,,0.630000,0.627907,
H12,7,11,104841.610375,40345.412400,17178.872797,,,,,,,31.930881,2.703125,32.556881,1.625000,,,36.320881,3.906250,,,,,0.626000,0.601156,
I1,8,0,55448.484625,35854.412400,17178.872797,,,,,,,32.068881,2.828125,32.686881,1.812500,,,36.156881,3.984375,,,,,0.618000,0.640884,
I2,8,1,59939.331625,35854.412400,17178.872797,,,,,,,32.044881,2.796875,32.664881,1.828125,,,36.122881,3.984375,,,,,0.620000,0.653631,
I3,8,2,64430.178625,35854.412400,17178.872797,,,,,,,32.014881,2.781250,32.638881,1.843750,,,36.172881,3.984375,,,,,0.624000,0.662921,
I4,8,3,68921.025625,35854.412400,17178.872797,,,,,,,31.988881,2.687500,32.612881,1.828125,,,36.182881,3.984375,,,,,0.624000,0.680233,
I5,8,4,73411.872625,35854.412400,17178.872797,,,,,,,31.970881,2.750000,32.594881,1.812500,,,36.218881,3.984375,,,,,0.624000,0.659091,
I6,8,5,77902.719625,35854.412400,17178.872797,,,,,,,31.956881,2.718750,32.582881,1.812500,,,36.212881,3.984375,,,,,0.626000,0.666667,
I7,8,6,82393.566625,35854.412400,17178.872797,,,,,,,31.946881,2.734375,32.572881,1.812500,,,36.232881,3.984375,,,,,0.626000,0.662857,
I8,8,7,86884.413625,35854.412400,17178.872797,,,,,,,31.940881,2.703125,32.566881,1.796875,,,36.246881,3.984375,,,,,0.626000,0.664740,
I9,8,8,91375.260625,35854.412400,17178.872797,,,,,,,31.940881,2.703125,32.568881,1.796875,,,36.256881,3.984375,,,,,0.628000,0.664740,
I10,8,9,95866.107625,35854.412400,17178.872797,,,,,,,31.944881,2.703125,32.570881,1.796875,,,36.286881,3.984375,,,,,0.626000,0.664740,
I11,8,10,100356.954625,35854.412400,17178.872797,,,,,,,31.942881,2.687500,32.570881,1.750000,,,36.270881,3.937500,,,,,0.628000,0.651163,
I12,8,11,104847.801625,35854.412400,17178.872797,,,,,,,31.938881,2.750000,32.564881,1.671875,,,36.306881,3.843750,,,,,0.626000,0.607955,
 Kernel data :: Row : 0
 Col, BB-Val, BB-Mask, BotThickVal, BotThickMask 
0,2.80962,1,0.614,1
1,2.8093,1,0.62,1
2,2.76292,1,0.622,1
3,2.7437,1,0.622,1
4,2.75313,1,0.624,1
5,2.72807,1,0.626,1
6,2.74896,1,0.626,1
7,2.73508,1,0.628,1
8,2.73408,1,0.628,1
9,2.74896,1,0.628,1
10,2.73408,1,0.63,1
11,2.75301,1,0.626,1

 Kernel data :: Row : 1
 Col, BB-Val, BB-Mask, BotThickVal, BotThickMask 
0,2.80442,1,0.618,1
1,2.78841,1,0.62,1
2,2.78867,1,0.624,1
3,2.7089,1,0.624,1
4,2.78095,1,0.624,1
5,2.75597,1,0.626,1
6,2.77667,1,0.626,1
7,2.74795,1,0.626,1
8,2.74795,1,0.628,1
9,2.74594,1,0.626,1
10,2.73107,1,0.628,1
11,2.79663,1,0.626,1

 Kernel data ::  Kernel Observation 
 Col, BB-Val, BB-Mask, BotThickVal, BotThickMask 
0,2.80702,1,0.616,1
1,2.79885,1,0.62,1
2,2.77579,1,0.623,1
3,2.7263,1,0.623,1
4,2.76704,1,0.624,1
5,2.74202,1,0.626,1
6,2.76281,1,0.626,1
7,2.74152,1,0.627,1
8,2.74102,1,0.628,1
9,2.74745,1,0.627,1
10,2.73257,1,0.629,1
11,2.77482,1,0.626,1

CLAS:: 384PPG :: Total score for Kernel based Classification 0.253051 ( bb vpp : 0.509213, tb-bb tof : -0.00311043 )
SCORE 384PPG::
TOT:,0.253051,BBVPP,0.509213,(n=12),BOTTHICK:,-0.00311043,(n=12)
 Kernel data :: Row : 0
 Col, BB-Val, BB-Mask, BotThickVal, BotThickMask 
0,2.82813,1,0.614,1
1,2.8125,1,0.62,1
2,2.75,1,0.622,1
3,2.71875,1,0.622,1
4,2.71875,1,0.624,1
5,2.6875,1,0.626,1
6,2.70313,1,0.626,1
7,2.6875,1,0.628,1
8,2.6875,1,0.628,1
9,2.70313,1,0.628,1
10,2.6875,1,0.63,1
11,2.70313,1,0.626,1

 Kernel data :: Row : 1
 Col, BB-Val, BB-Mask, BotThickVal, BotThickMask 
0,2.82813,1,0.618,1
1,2.79688,1,0.62,1
2,2.78125,1,0.624,1
3,2.6875,1,0.624,1
4,2.75,1,0.624,1
5,2.71875,1,0.626,1
6,2.73438,1,0.626,1
7,2.70313,1,0.626,1
8,2.70313,1,0.628,1
9,2.70313,1,0.626,1
10,2.6875,1,0.628,1
11,2.75,1,0.626,1

 Kernel data ::  Kernel Observation 
 Col, BB-Val, BB-Mask, BotThickVal, BotThickMask 
0,2.82813,1,0.616,1
1,2.80469,1,0.62,1
2,2.76563,1,0.623,1
3,2.70313,1,0.623,1
4,2.73438,1,0.624,1
5,2.70313,1,0.626,1
6,2.71875,1,0.626,1
7,2.69531,1,0.627,1
8,2.69531,1,0.628,1
9,2.70313,1,0.627,1
10,2.6875,1,0.629,1
11,2.72656,1,0.626,1

CLAS:: 384PPL :: Total score for Kernel based Classification 0.787031 ( bb vpp : 0.617146, tb-bb tof : 0.956915 )
SCORE 384PPL::
TOT:,0.787031,BBVPP,0.617146,(n=12),BOTTHICK:,0.956915,(n=12)

Classification results summary:
Classified plate name,Tol. tier,score,threshold
384PPG_DMSO2,TIGHT,0.253051,0.6
384PPL_DMSO2,TIGHT,0.787031,0.6, <----- This was the plate-model chosen as the classified plate ****************************************
384PPG_DMSO2,LOOSE,0.253051,0
384PPL_DMSO2,LOOSE,0.787031,0
