Reader,LUTDate,IntStd,CalDate,A,B,C,PMTCorr,Category,Mode
BMG-1310,082017,FALSE,20180131,0,759.22,68.268,6579.458333,RD,Fluor
BMG-1310,032017,TRUE,20170911,0,611.68, 83.501, 50275.875,RD,Fluor
BMG-1310,032017,FALSE,20170911,0,611.68, 83.501, 6543.489583,RD,Fluor
BMG-1619,062018,TRUE,20180706,0,710.82,110.19,51561.5,MFG,Fluor
BMG-1619,062018,FALSE,20180706,0,710.82,110.19,7145.958333,MFG,Fluor
BMG-1619,022018,TRUE,20180222,0,741.19,118.66,54838.625,MFG,Fluor
BMG-1619,022018,FALSE,20180222,0,741.19,118.66,7520.833333,MFG,Fluor
BMG-1619,022018uL,TRUE,20180307,1.6932778997E-07,-2.0603192625E-03,6.6397273589E+02,4066.84375,RD,Fluor
BMG-1619,022018uL,FALSE,20180307,1.6932778997E-07,-2.0603192625E-03,6.6397273589E+02,7701.333333,RD,Fluor
BMG-1619,022018uL_DMSO,FALSE,20180327,1.49075066686868E-07,0.00662546166226728,292.26934246947,7504.234375,RD,Fluor
BMG-1619,022018uL_GP,FALSE,20180327,1.44961590112208E-07,0.0048801284471845,364.885695087416,7585.760417,RD,Fluor
BMG-1619,022018ext,TRUE,20180418,0,707.0380,4240.1796,55531.3125,RD,Fluor
BMG-1619,022018ext,FALSE,20180418,0,707.0380,4240.1796,7440.677083,RD,Fluor
BMG-1619,082017,TRUE,20170911,0,686.4,79.766,52325.5,RD,Fluor
BMG-1619,082017,FALSE,20170911,0,686.4,79.766,7253.401042,RD,Fluor
BMG-1619,082017,TRUE,20180131,0,759.2,68,53964.43,RD,Fluor
BMG-1619,082017,FALSE,20180131,0,759.2,68,7463.60,RD,Fluor
BMG-1619,082017uL,TRUE,20171206,-0.0026084,43.3835,5926.23,51209.375,RD,Fluor
BMG-1619,082017uL,FALSE,20171206,-0.0026084,43.3835,5926.23,7378.380208,RD,Fluor
BMG-1619,082017uL,TRUE,20180202,-0.002315,39.876,8761.6,4138.875,RD,Fluor
BMG-1619,082017uL,FALSE,20180202,-0.002315,39.876,8761.6,7503.354167,RD,Fluor
BMG-1619,032017,TRUE,20170911,0,682.11, 108.14,52567.875,RD,Fluor
BMG-1619,032017,FALSE,20170911,0,682.11, 108.14,7069.026042,RD,Fluor
BMG-1619,NIST,TRUE,20170911,0, 295.37, 72.197, 51123.125,RD,Fluor
BMG-PHERAstar-1630,082017,FALSE,20171130,0,1364.8,377.57,13481.91,RD,Fluor
