Col,Row,Well,mConc,mFillHeight,mFluid,mImpedance,mVolume
37,11,L38,95,0,DMSO,1.67,3.0
38,11,L39,95,0,DMSO,1.67,2.0
39,11,L40,95,0,DMSO,1.67,3.0
40,11,L41,95,0,DMSO,1.67,2.0
41,11,L42,95,0,DMSO,1.67,3.0
42,11,L43,95,0,DMSO,1.67,2.0
43,11,L44,95,0,DMSO,1.67,3.0
44,11,L45,95,0,DMSO,1.67,2.0
45,11,L46,95,0,DMSO,1.67,3.0
46,11,L47,95,0,DMSO,1.67,2.0
47,11,L48,95,0,DMSO,1.67,3.0
0,12,M1,95,0,DMSO,1.67,4.0
1,12,M2,95,0,DMSO,1.67,4.5
2,12,M3,95,0,DMSO,1.67,4.0
3,12,M4,95,0,DMSO,1.67,4.5
4,12,M5,95,0,DMSO,1.67,4.0
5,12,M6,95,0,DMSO,1.67,4.5
6,12,M7,95,0,DMSO,1.67,4.0
7,12,M8,95,0,DMSO,1.67,4.5
8,12,M9,95,0,DMSO,1.67,4.0
9,12,M10,95,0,DMSO,1.67,4.5
10,12,M11,95,0,DMSO,1.67,4.0
11,12,M12,95,0,DMSO,1.67,4.5
12,12,M13,95,0,DMSO,1.67,4.0
13,12,M14,95,0,DMSO,1.67,4.5
14,12,M15,95,0,DMSO,1.67,4.0
15,12,M16,95,0,DMSO,1.67,4.5
16,12,M17,95,0,DMSO,1.67,4.0
17,12,M18,95,0,DMSO,1.67,4.5
18,12,M19,95,0,DMSO,1.67,4.0
19,12,M20,95,0,DMSO,1.67,4.5
20,12,M21,95,0,DMSO,1.67,4.0
21,12,M22,95,0,DMSO,1.67,4.5
22,12,M23,95,0,DMSO,1.67,4.0
23,12,M24,95,0,DMSO,1.67,4.5
24,12,M25,95,0,DMSO,1.67,1.0
25,12,M26,95,0,DMSO,1.67,1.5
26,12,M27,95,0,DMSO,1.67,1.0
27,12,M28,95,0,DMSO,1.67,1.5
28,12,M29,95,0,DMSO,1.67,1.0
29,12,M30,95,0,DMSO,1.67,1.5
30,12,M31,95,0,DMSO,1.67,1.0
31,12,M32,95,0,DMSO,1.67,1.5
32,12,M33,95,0,DMSO,1.67,1.0
33,12,M34,95,0,DMSO,1.67,1.5
34,12,M35,95,0,DMSO,1.67,1.0
35,12,M36,95,0,DMSO,1.67,1.5
36,12,M37,95,0,DMSO,1.67,1.0
37,12,M38,95,0,DMSO,1.67,1.5
38,12,M39,95,0,DMSO,1.67,1.0
39,12,M40,95,0,DMSO,1.67,1.5
40,12,M41,95,0,DMSO,1.67,1.0
41,12,M42,95,0,DMSO,1.67,1.5
42,12,M43,95,0,DMSO,1.67,1.0
43,12,M44,95,0,DMSO,1.67,1.5
44,12,M45,95,0,DMSO,1.67,1.0
45,12,M46,95,0,DMSO,1.67,1.5
46,12,M47,95,0,DMSO,1.67,1.0
47,12,M48,95,0,DMSO,1.67,1.5
0,13,N1,95,0,DMSO,1.67,5.0
1,13,N2,95,0,DMSO,1.67,5.5
2,13,N3,95,0,DMSO,1.67,5.0
3,13,N4,95,0,DMSO,1.67,5.5
4,13,N5,95,0,DMSO,1.67,5.0
5,13,N6,95,0,DMSO,1.67,5.5
6,13,N7,95,0,DMSO,1.67,5.0
7,13,N8,95,0,DMSO,1.67,5.5
8,13,N9,95,0,DMSO,1.67,5.0
9,13,N10,95,0,DMSO,1.67,5.5
10,13,N11,95,0,DMSO,1.67,5.0
11,13,N12,95,0,DMSO,1.67,5.5
12,13,N13,95,0,DMSO,1.67,5.0
13,13,N14,95,0,DMSO,1.67,5.5
14,13,N15,95,0,DMSO,1.67,5.0
15,13,N16,95,0,DMSO,1.67,5.5
16,13,N17,95,0,DMSO,1.67,5.0
17,13,N18,95,0,DMSO,1.67,5.5
18,13,N19,95,0,DMSO,1.67,5.0
19,13,N20,95,0,DMSO,1.67,5.5
20,13,N21,95,0,DMSO,1.67,5.0
21,13,N22,95,0,DMSO,1.67,5.5
22,13,N23,95,0,DMSO,1.67,5.0
23,13,N24,95,0,DMSO,1.67,5.5
24,13,N25,95,0,DMSO,1.67,2.0
25,13,N26,95,0,DMSO,1.67,3.0
26,13,N27,95,0,DMSO,1.67,2.0
27,13,N28,95,0,DMSO,1.67,3.0
28,13,N29,95,0,DMSO,1.67,2.0
29,13,N30,95,0,DMSO,1.67,3.0
30,13,N31,95,0,DMSO,1.67,2.0
31,13,N32,95,0,DMSO,1.67,3.0
32,13,N33,95,0,DMSO,1.67,2.0
33,13,N34,95,0,DMSO,1.67,3.0
34,13,N35,95,0,DMSO,1.67,2.0
35,13,N36,95,0,DMSO,1.67,3.0
36,13,N37,95,0,DMSO,1.67,2.0
37,13,N38,95,0,DMSO,1.67,3.0
38,13,N39,95,0,DMSO,1.67,2.0
39,13,N40,95,0,DMSO,1.67,3.0
40,13,N41,95,0,DMSO,1.67,2.0
41,13,N42,95,0,DMSO,1.67,3.0
42,13,N43,95,0,DMSO,1.67,2.0
43,13,N44,95,0,DMSO,1.67,3.0
44,13,N45,95,0,DMSO,1.67,2.0
45,13,N46,95,0,DMSO,1.67,3.0
46,13,N47,95,0,DMSO,1.67,2.0
47,13,N48,95,0,DMSO,1.67,3.0
0,14,O1,95,0,DMSO,1.67,4.0
1,14,O2,95,0,DMSO,1.67,4.5
2,14,O3,95,0,DMSO,1.67,4.0
3,14,O4,95,0,DMSO,1.67,4.5
4,14,O5,95,0,DMSO,1.67,4.0
5,14,O6,95,0,DMSO,1.67,4.5
6,14,O7,95,0,DMSO,1.67,4.0
7,14,O8,95,0,DMSO,1.67,4.5
8,14,O9,95,0,DMSO,1.67,4.0
9,14,O10,95,0,DMSO,1.67,4.5
10,14,O11,95,0,DMSO,1.67,4.0
11,14,O12,95,0,DMSO,1.67,4.5
12,14,O13,95,0,DMSO,1.67,4.0
13,14,O14,95,0,DMSO,1.67,4.5
14,14,O15,95,0,DMSO,1.67,4.0
15,14,O16,95,0,DMSO,1.67,4.5
16,14,O17,95,0,DMSO,1.67,4.0
17,14,O18,95,0,DMSO,1.67,4.5
18,14,O19,95,0,DMSO,1.67,4.0
19,14,O20,95,0,DMSO,1.67,4.5
20,14,O21,95,0,DMSO,1.67,4.0
21,14,O22,95,0,DMSO,1.67,4.5
22,14,O23,95,0,DMSO,1.67,4.0
23,14,O24,95,0,DMSO,1.67,4.5
24,14,O25,95,0,DMSO,1.67,1.0
25,14,O26,95,0,DMSO,1.67,1.5
26,14,O27,95,0,DMSO,1.67,1.0
27,14,O28,95,0,DMSO,1.67,1.5
28,14,O29,95,0,DMSO,1.67,1.0
29,14,O30,95,0,DMSO,1.67,1.5
30,14,O31,95,0,DMSO,1.67,1.0
31,14,O32,95,0,DMSO,1.67,1.5
32,14,O33,95,0,DMSO,1.67,1.0
33,14,O34,95,0,DMSO,1.67,1.5
34,14,O35,95,0,DMSO,1.67,1.0
35,14,O36,95,0,DMSO,1.67,1.5
36,14,O37,95,0,DMSO,1.67,1.0
37,14,O38,95,0,DMSO,1.67,1.5
38,14,O39,95,0,DMSO,1.67,1.0
39,14,O40,95,0,DMSO,1.67,1.5
40,14,O41,95,0,DMSO,1.67,1.0
41,14,O42,95,0,DMSO,1.67,1.5
42,14,O43,95,0,DMSO,1.67,1.0
43,14,O44,95,0,DMSO,1.67,1.5
44,14,O45,95,0,DMSO,1.67,1.0
45,14,O46,95,0,DMSO,1.67,1.5
46,14,O47,95,0,DMSO,1.67,1.0
47,14,O48,95,0,DMSO,1.67,1.5
0,15,P1,95,0,DMSO,1.67,5.0
1,15,P2,95,0,DMSO,1.67,5.5
2,15,P3,95,0,DMSO,1.67,5.0
3,15,P4,95,0,DMSO,1.67,5.5
4,15,P5,95,0,DMSO,1.67,5.0
5,15,P6,95,0,DMSO,1.67,5.5
6,15,P7,95,0,DMSO,1.67,5.0
7,15,P8,95,0,DMSO,1.67,5.5
8,15,P9,95,0,DMSO,1.67,5.0
9,15,P10,95,0,DMSO,1.67,5.5
10,15,P11,95,0,DMSO,1.67,5.0
11,15,P12,95,0,DMSO,1.67,5.5
12,15,P13,95,0,DMSO,1.67,5.0
13,15,P14,95,0,DMSO,1.67,5.5
14,15,P15,95,0,DMSO,1.67,5.0
15,15,P16,95,0,DMSO,1.67,5.5
16,15,P17,95,0,DMSO,1.67,5.0
17,15,P18,95,0,DMSO,1.67,5.5
18,15,P19,95,0,DMSO,1.67,5.0
19,15,P20,95,0,DMSO,1.67,5.5
20,15,P21,95,0,DMSO,1.67,5.0
21,15,P22,95,0,DMSO,1.67,5.5
22,15,P23,95,0,DMSO,1.67,5.0
23,15,P24,95,0,DMSO,1.67,5.5
24,15,P25,95,0,DMSO,1.67,2.0
25,15,P26,95,0,DMSO,1.67,3.0
26,15,P27,95,0,DMSO,1.67,2.0
27,15,P28,95,0,DMSO,1.67,3.0
28,15,P29,95,0,DMSO,1.67,2.0
29,15,P30,95,0,DMSO,1.67,3.0
30,15,P31,95,0,DMSO,1.67,2.0
31,15,P32,95,0,DMSO,1.67,3.0
32,15,P33,95,0,DMSO,1.67,2.0
33,15,P34,95,0,DMSO,1.67,3.0
34,15,P35,95,0,DMSO,1.67,2.0
35,15,P36,95,0,DMSO,1.67,3.0
36,15,P37,95,0,DMSO,1.67,2.0
37,15,P38,95,0,DMSO,1.67,3.0
38,15,P39,95,0,DMSO,1.67,2.0
39,15,P40,95,0,DMSO,1.67,3.0
40,15,P41,95,0,DMSO,1.67,2.0
41,15,P42,95,0,DMSO,1.67,3.0
42,15,P43,95,0,DMSO,1.67,2.0
43,15,P44,95,0,DMSO,1.67,3.0
44,15,P45,95,0,DMSO,1.67,2.0
45,15,P46,95,0,DMSO,1.67,3.0
46,15,P47,95,0,DMSO,1.67,2.0
47,15,P48,95,0,DMSO,1.67,3.0
0,16,Q1,95,0,DMSO,1.67,4.0
1,16,Q2,95,0,DMSO,1.67,4.5
2,16,Q3,95,0,DMSO,1.67,4.0
3,16,Q4,95,0,DMSO,1.67,4.5
4,16,Q5,95,0,DMSO,1.67,4.0
5,16,Q6,95,0,DMSO,1.67,4.5
6,16,Q7,95,0,DMSO,1.67,4.0
7,16,Q8,95,0,DMSO,1.67,4.5
8,16,Q9,95,0,DMSO,1.67,4.0
9,16,Q10,95,0,DMSO,1.67,4.5
10,16,Q11,95,0,DMSO,1.67,4.0
11,16,Q12,95,0,DMSO,1.67,4.5
12,16,Q13,95,0,DMSO,1.67,4.0
13,16,Q14,95,0,DMSO,1.67,4.5
